Date,Open,High,Low,Close,Volume
2023-12-29 19:00:00,163.5500,163.6400,163.3000,163.3100,690290
2023-12-29 18:00:00,163.2600,163.5500,163.2600,163.4000,689917
2023-12-29 17:00:00,163.4900,163.5500,155.4430,163.2500,87
2023-12-29 16:00:00,163.5900,163.5900,163.1300,163.4900,2194509
2023-12-29 15:00:00,163.3900,163.6800,163.3100,163.5900,558313
2023-12-29 14:00:00,163.2200,163.4300,163.1700,163.3850,209509
2023-12-29 13:00:00,163.0500,163.2700,162.9870,163.1900,157597
2023-12-29 12:00:00,163.0700,163.1500,162.8300,163.0500,176856
2023-12-29 11:00:00,163.4200,163.4900,163.0600,163.0600,203588
2023-12-29 10:00:00,163.8100,163.9100,163.3400,163.3670,234364
2023-12-29 09:00:00,163.6000,164.1800,163.6000,163.8300,169776
2023-12-29 08:00:00,163.9900,164.0500,163.6000,163.7200,380
2023-12-29 07:00:00,163.9000,163.9000,163.4800,163.6800,386
2023-12-29 06:00:00,163.9200,163.9200,163.7500,163.7500,23
2023-12-29 05:00:00,163.4600,163.4600,163.4600,163.4600,43
2023-12-29 04:00:00,163.7800,163.8300,163.7500,163.7700,66
2023-12-28 19:00:00,163.7500,164.0000,163.7100,163.8100,334473
2023-12-28 18:00:00,163.9500,163.9500,163.7500,163.9000,333918
2023-12-28 17:00:00,163.7500,163.9800,163.7000,163.7000,2884
2023-12-28 16:00:00,163.7700,163.9480,163.5100,163.7500,1047656
2023-12-28 15:00:00,163.8450,163.9600,163.4900,163.7500,609570
2023-12-28 14:00:00,163.7900,163.8800,163.7160,163.8410,155318
2023-12-28 13:00:00,163.5900,163.8400,163.4700,163.7870,201041
2023-12-28 12:00:00,163.5500,163.6000,163.4400,163.5800,163053
2023-12-28 11:00:00,163.6000,163.7700,163.5000,163.5400,142310
2023-12-28 10:00:00,163.4900,163.9450,163.4000,163.5900,251976
2023-12-28 09:00:00,163.4300,163.9600,163.0390,163.4900,162860
2023-12-28 08:00:00,163.5300,163.7000,162.9800,163.2370,397
2023-12-28 07:00:00,163.4700,163.6800,163.1200,163.4400,663
2023-12-28 06:00:00,163.4300,163.4400,163.2400,163.2400,46
2023-12-28 05:00:00,163.1100,163.2000,163.0800,163.0900,141
2023-12-28 04:00:00,163.7000,163.7000,163.1100,163.1100,193
2023-12-27 19:00:00,163.4600,163.6400,163.2600,163.4700,661034
2023-12-27 18:00:00,163.4650,163.6400,163.2200,163.4600,661187
2023-12-27 17:00:00,163.4600,163.4800,163.2100,163.4800,76
2023-12-27 16:00:00,163.4600,163.6800,162.8400,163.4600,2893261
2023-12-27 15:00:00,163.0900,163.4700,163.0100,163.4600,509121
2023-12-27 14:00:00,163.2850,163.2850,162.9500,163.0800,201513
2023-12-27 13:00:00,163.3000,163.5600,163.2100,163.3250,188472
2023-12-27 12:00:00,163.5000,163.5240,163.2560,163.3200,162237
2023-12-27 11:00:00,163.0900,163.6400,163.0800,163.5000,172179
2023-12-27 10:00:00,163.0600,163.5250,162.9000,163.0900,265023
2023-12-27 09:00:00,163.2300,163.4400,162.6800,163.0750,162314
2023-12-27 08:00:00,163.2400,163.8600,162.9390,163.3800,1862
2023-12-27 07:00:00,163.3000,163.4800,163.3000,163.4300,255
2023-12-27 06:00:00,163.0000,163.2800,162.9700,163.2800,136
2023-12-27 05:00:00,163.1800,163.2200,163.1800,163.1800,30
2023-12-27 04:00:00,163.1700,163.3800,162.9700,163.1800,33
2023-12-26 19:00:00,163.2100,163.4000,163.0000,163.0000,262351
2023-12-26 18:00:00,163.2100,163.4000,163.0500,163.3800,262014
2023-12-26 17:00:00,163.2700,163.4000,163.0000,163.2100,169
2023-12-26 16:00:00,163.2100,163.6800,163.0010,163.4000,924258
2023-12-26 15:00:00,163.0200,163.3100,162.9900,163.2100,429425
2023-12-26 14:00:00,162.8760,163.1000,162.8700,163.0160,181099
2023-12-26 13:00:00,162.7500,162.8900,162.7200,162.8770,181793
2023-12-26 12:00:00,162.7500,162.8400,162.6900,162.7300,124235
2023-12-26 11:00:00,162.6400,162.8300,162.5000,162.7400,148235
2023-12-26 10:00:00,162.2930,162.7200,162.1600,162.6300,172132
2023-12-26 09:00:00,162.2500,162.5000,162.0500,162.3130,133355
2023-12-26 08:00:00,162.3000,162.5000,162.1400,162.4700,765
2023-12-26 07:00:00,162.4900,162.4900,162.2500,162.4800,238
2023-12-26 06:00:00,162.3500,162.4700,162.2000,162.4700,39
2023-12-26 04:00:00,162.1200,162.3000,161.9500,162.3000,386
2023-12-22 19:00:00,162.1400,162.2500,162.0100,162.2500,377196
2023-12-22 18:00:00,162.1200,162.2500,162.0000,162.1000,378538
2023-12-22 17:00:00,162.0000,162.1400,161.9500,162.1100,10997
2023-12-22 16:00:00,162.1700,162.3000,161.4800,162.1200,1176975
2023-12-22 15:00:00,162.0500,162.2000,161.8700,162.2000,643512
2023-12-22 14:00:00,162.0800,162.0900,161.5900,162.0500,187772
2023-12-22 13:00:00,162.1400,162.2700,162.0600,162.0900,177714
2023-12-22 12:00:00,162.0530,162.1600,161.8100,162.1200,177726
2023-12-22 11:00:00,161.8380,162.2400,161.6800,162.0400,239856
2023-12-22 10:00:00,161.6900,162.4100,161.5800,161.8250,359356
2023-12-22 09:00:00,160.4800,162.1800,160.4320,161.6700,217146
2023-12-22 08:00:00,160.7600,161.0000,160.1000,160.7600,795
2023-12-22 07:00:00,160.7800,160.8500,160.1800,160.1800,836
2023-12-22 06:00:00,160.6400,160.8500,160.5000,160.6000,132
2023-12-22 05:00:00,160.7800,160.9000,160.6000,160.6000,11
2023-12-22 04:00:00,160.7800,160.8700,160.6000,160.8700,99
2023-12-21 19:00:00,160.7800,160.8800,160.5000,160.7800,463420
2023-12-21 18:00:00,160.6900,160.9900,160.5000,160.9900,462942
2023-12-21 17:00:00,160.8800,160.9900,160.5000,160.9900,607
2023-12-21 16:00:00,160.8100,161.0000,160.0800,160.9900,1459035
2023-12-21 15:00:00,160.0600,160.8800,159.9800,160.7700,625597
2023-12-21 14:00:00,159.8800,160.1990,159.5300,160.0650,366590
2023-12-21 13:00:00,160.1300,160.2700,159.8400,159.8900,285231
2023-12-21 12:00:00,160.2800,160.3600,159.8200,160.1300,417062
2023-12-21 11:00:00,160.9400,161.0200,160.3000,160.3000,286491
2023-12-21 10:00:00,160.9400,161.0800,160.5200,160.9400,267537
2023-12-21 09:00:00,161.0700,161.2800,160.2800,160.9400,196250
2023-12-21 08:00:00,160.6800,162.4100,160.0500,160.8000,2429
2023-12-21 07:00:00,160.4000,160.7400,160.4000,160.6400,1049
2023-12-21 06:00:00,160.4200,160.4200,160.4000,160.4000,57
2023-12-21 05:00:00,160.4900,160.5300,160.2500,160.4000,68
2023-12-21 04:00:00,160.5500,160.5500,160.5500,160.5500,3
2023-12-20 19:00:00,160.0500,160.6500,160.0500,160.6500,916369
2023-12-20 18:00:00,160.1500,160.6500,160.0500,160.6500,958053
2023-12-20 17:00:00,160.0500,160.6000,160.0500,160.1500,486070
2023-12-20 16:00:00,160.0900,160.3700,160.0000,160.0800,2815758
2023-12-20 15:00:00,160.6100,160.7200,160.0100,160.0900,1385496
